date,investment_amount,stock_selection,returns_amount
2015-01-05,7084.0,"['BAC', 'MSFT', 'INTC']",
2015-01-06,6934.935143772489,"['BAC', 'MSFT', 'INTC']",-149.06485622751097
2015-01-07,6994.710492593958,"['AAPL', 'TSLA', 'V']",59.77534882146938
2015-01-08,7126.739348783338,"['AAPL', 'DIS', 'JNJ']",132.02885618937944
2015-01-09,7096.1012968101495,"['MSFT', 'AAPL', 'FB']",-30.63805197318834
2015-01-12,7032.7920157823355,"['AAPL', 'DIS', 'INTC']",-63.309281027813995
2015-01-13,7051.355657653758,"['DIS', 'INTC', 'V']",18.563641871422078
2015-01-14,6885.665344787607,"['AAPL', 'TSLA', 'DIS']",-165.69031286615063
2015-01-15,6784.739281890083,"['MSFT', 'FB', 'INTC']",-100.92606289752439
2015-01-16,6858.67480088931,"['DIS', 'MSFT', 'INTC']",73.9355189992275
2015-01-20,6816.980365505839,"['FB', 'TSLA', 'JNJ']",-41.6944353834715
2015-01-21,6853.123213407597,"['AAPL', 'FB', 'V']",36.142847901758614
2015-01-22,7012.936450220831,"['AAPL', 'TSLA', 'JNJ']",159.81323681323374
2015-01-23,6986.027122312913,"['AAPL', 'TSLA', 'JNJ']",-26.90932790791794
2015-01-26,6962.609577042542,"['AAPL', 'FB', 'V']",-23.417545270371193
2015-01-27,6899.55295988814,"['BAC', 'TSLA', 'DIS']",-63.056617154401465
2015-01-28,6763.20162969595,"['JPM', 'BAC', 'JNJ']",-136.3513301921903
2015-01-29,6914.466968315873,"['AAPL', 'FB', 'INTC']",151.26533861992266
2015-01-30,6801.009118350556,"['AAPL', 'TSLA', 'FB']",-113.45784996531711
2015-02-02,6893.075253426994,"['BAC', 'INTC', 'V']",92.06613507643851
2015-02-03,7026.063754684794,"['JPM', 'AAPL', 'TSLA']",132.98850125779973
2015-02-04,7181.658354403287,"['TSLA', 'JNJ', 'DIS']",155.59459971849355
2015-02-05,7293.337640168867,"['AAPL', 'DIS', 'V']",111.67928576558006
2015-02-06,7199.541907452727,"['TSLA', 'V', 'DIS']",-93.79573271614026
2015-02-09,7173.436006111598,"['JPM', 'BAC', 'MSFT']",-26.105901341129538
2015-02-10,7230.381023088463,"['AAPL', 'TSLA', 'FB']",56.94501697686519
2015-02-11,7318.454940131254,"['AAPL', 'FB', 'INTC']",88.07391704279144
2015-02-12,7385.514990999804,"['AAPL', 'FB', 'V']",67.0600508685493
2015-02-13,7399.975829371206,"['AAPL', 'DIS', 'V']",14.460838371402133
2015-02-17,7428.4330828192,"['MSFT', 'TSLA', 'JNJ']",28.457253447993935
2015-02-18,7435.075530919275,"['AAPL', 'TSLA', 'JNJ']",6.642448100074944
2015-02-19,7605.348302100163,"['AAPL', 'TSLA', 'FB']",170.2727711808884
2015-02-20,7691.8253475233705,"['JNJ', 'TSLA', 'FB']",86.47704542320753
2015-02-23,7645.879644232311,"['AAPL', 'TSLA', 'V']",-45.945703291059544
2015-02-24,7618.743106804984,"['AAPL', 'DIS', 'MSFT']",-27.136537427327312
2015-02-25,7610.648095271123,"['JPM', 'JNJ', 'INTC']",-8.095011533860998
