Date|StockPrice
2019-11-25|149.69
2019-11-22|148.29
2019-11-21|146.9
2019-11-20|146.93
2019-11-19|148.38
2019-11-18|147.65
2019-11-15|144.67
2019-11-14|147.15
2019-11-13|148.72
2019-11-12|138.58
2019-11-11|136.74
2019-11-08|137.96
2019-11-07|132.96
2019-11-06|131.27
2019-11-05|131.45
2019-11-04|132.92
2019-11-01|132.75
2019-10-31|129.92
2019-10-30|129.6
2019-10-29|129.48
2019-10-28|130.53
2019-10-25|130.9
2019-10-24|130.26
2019-10-23|131.13
2019-10-22|132.4
2019-10-21|130.26
2019-10-18|130.89
2019-10-17|132.37
2019-10-16|130.86
2019-10-15|129.76
2019-10-14|129.7
2019-10-11|130.02
2019-10-10|129.34
2019-10-09|129.33
2019-10-08|128.47
2019-10-07|130.9
2019-10-04|130.27
2019-10-03|128.15
2019-10-02|129.14
2019-10-01|129.55
2019-09-30|130.32
2019-09-27|129.96
2019-09-26|131.27
2019-09-25|133.09
2019-09-24|131.97
2019-09-23|132.46
2019-09-20|132.27
2019-09-19|133.3
2019-09-18|136.8
2019-09-17|136.31
2019-09-16|135.8
2019-09-13|138.02
2019-09-12|137.5
2019-09-11|136.19
2019-09-10|135.79
2019-09-09|138.83
2019-09-06|139.55
2019-09-05|138.84
2019-09-04|137.89
2019-09-03|136.31
2019-08-30|137.26
2019-08-29|137.84
2019-08-28|136.55
2019-08-27|134.49
2019-08-26|134.61
2019-08-23|131.67
2019-08-22|136.08
2019-08-21|135.76
2019-08-20|135.13
2019-08-19|135.29
2019-08-16|135.2
2019-08-15|133.41
2019-08-14|132.85
2019-08-13|137.01
2019-08-12|135.83
2019-08-09|138.52
2019-08-08|137.89
2019-08-07|134.86
2019-08-06|141.87
2019-08-05|138.3
2019-08-02|141.71
2019-08-01|141.85
2019-07-31|143.01
2019-07-30|144.93
2019-07-29|146.39
2019-07-26|144.65
2019-07-25|143.21
2019-07-24|141.29
2019-07-23|141.26
2019-07-22|140.84
2019-07-19|139.85
2019-07-18|141.63
2019-07-17|142.57
2019-07-16|144.3
2019-07-15|145.06
2019-07-12|144.88
2019-07-11|143.56
2019-07-10|143.54
2019-07-09|141.61
2019-07-08|141.02
2019-07-05|142.45
2019-07-03|142.10000000000002
2019-07-02|141.65276961812845
2019-07-01|140.7881242131767
2019-06-28|138.78055672121977
2019-06-27|138.44264932158347
2019-06-26|139.53587914393626
2019-06-25|139.07871030913418
2019-06-24|138.36314169813963
2019-06-21|139.3669254441181
2019-06-20|141.145908518674
2019-06-19|140.05267869632118
2019-06-18|138.3830186040006
2019-06-17|140.1023709609736
2019-06-14|140.77818576024623
2019-06-13|140.86763183662055
2019-06-12|134.8846831724717
2019-06-11|134.248622184921
2019-06-10|136.22637431808647
2019-06-07|137.190404252343
2019-06-06|136.3655126591132
2019-06-05|135.10332913694225
2019-06-04|133.99022240872853
2019-06-03|131.60499370541336
2019-05-31|131.22733249405513
2019-05-30|131.3863477409428
2019-05-29|130.7602252063226
2019-05-28|131.80376276402296
2019-05-24|131.97271646384112
2019-05-23|131.91308574625825
2019-05-22|133.02619247447197
2019-05-21|133.2647153448035
2019-05-20|133.08582319205487
2019-05-17|134.20886837319907
2019-05-16|134.66603720800114
2019-05-15|133.8510840677018
2019-05-14|132.3801930339908
2019-05-13|130.52170233599108
2019-05-10|133.2150230801511
2019-05-09|132.76779269827952
2019-05-08|136.6537277940971
2019-05-07|132.6187159043223
2019-05-06|134.16911456147716
2019-05-03|133.50323821513504
2019-05-02|133.31440760945588
2019-05-01|135.54062106588336
2019-04-30|136.12698978878169
2019-04-29|138.44264932158347
2019-04-26|139.0588334032732
2019-04-25|134.89462162540218
2019-04-24|134.26849909078194
2019-04-23|132.53920828087848
2019-04-22|130.86954818855787
2019-04-18|131.6348090642048
2019-04-17|130.93911735907122
2019-04-16|129.10050356693247
2019-04-15|131.22733249405513
2019-04-12|129.25951881382014
2019-04-11|115.88236116939434
2019-04-10|116.43891453350122
2019-04-09|116.14076094558682
2019-04-08|114.25245488879565
2019-04-05|114.29220870051758
2019-04-04|114.04374737725558
2019-04-03|111.8274723737586
2019-04-02|111.27091900965172
2019-04-01|111.81753392082813
2019-03-29|110.34664288711711
2019-03-28|110.02861239334175
2019-03-27|109.60125891733112
2019-03-26|109.4621205763044
2019-03-25|107.12658413764166
2019-03-22|107.56387606658276
2019-03-21|107.99122954259339
2019-03-20|109.31304378234721
2019-03-19|109.32298223527769
2019-03-18|112.42377954958738
2019-03-15|114.25245488879565
2019-03-14|113.77540914813264
2019-03-13|113.38780948384392
2019-03-12|114.02387047139463
2019-03-11|114.04374737725558
2019-03-08|113.1095328017905
2019-03-07|113.30830186040009
2019-03-06|114.14313190656038
2019-03-05|113.29836340746961
2019-03-04|113.62633235417543
2019-03-01|113.30830186040009
2019-02-28|112.14550286753395
2019-02-27|112.08587214995107
2019-02-26|112.80144076094561
2019-02-25|112.89088683731994
2019-02-22|114.54067002377958
2019-02-21|113.58657854245352
2019-02-20|112.98033291369426
2019-02-19|112.8113792138761
2019-02-15|111.89704154427196
2019-02-14|109.97892012868935
2019-02-13|109.52175129388729
2019-02-12|108.52790600083931
2019-02-11|108.76642887117082
2019-02-08|110.82368862778014
2019-02-07|110.26713526367327
2019-02-06|110.72430409847533
2019-02-05|111.9666107147853
2019-02-04|111.11190376276404
2019-02-01|110.61498111624006
2019-01-31|110.83362708071061
2019-01-30|109.45218212337392
2019-01-29|110.21744299902088
2019-01-28|110.12799692264655
2019-01-25|110.40627360469999
2019-01-24|109.86959714645407
2019-01-23|110.43608896349143
2019-01-22|109.91928941110646
2019-01-18|110.3565813400476
2019-01-17|110.32676598125614
2019-01-16|110.22738145195135
2019-01-15|111.07214995104214
2019-01-14|111.7280878444538
2019-01-11|111.95667226185483
2019-01-10|112.10574905581203
2019-01-09|111.97654916771579
2019-01-08|110.73424255140581
2019-01-07|109.87953559938455
2019-01-04|108.93538257098898
2019-01-03|105.6755700097916
2019-01-02|108.29932158343827
2018-12-31|108.9751363827109
2018-12-28|106.63959994404814
2018-12-27|105.86440061547071
2018-12-26|105.17864736326761
2018-12-24|99.73237515736469
2018-12-21|103.57855644146036
2018-12-20|106.34144635613374
2018-12-19|108.54778290670026
2018-12-18|108.7763673241013
2018-12-17|109.93916631696744
2018-12-14|111.50944187998324
2018-12-13|112.69211777871034
2018-12-12|111.51938033291371
2018-12-11|111.2808574625822
2018-12-10|111.17153448034692
2018-12-07|111.29079591551269
2018-12-06|112.75174849629325
2018-12-04|111.31190284944125
2018-12-03|114.14228436071879
2018-11-30|113.89573544858659
2018-11-29|115.00027457493881
2018-11-28|114.49731479418914
2018-11-27|112.32768436742587
2018-11-26|110.99632024191204
2018-11-23|110.53280828710352
2018-11-21|111.46969415320585
2018-11-20|110.32570720091249
2018-11-19|113.8267017531896
2018-11-16|114.58607240255674
2018-11-15|115.4933723992032
2018-11-14|115.50323435568849
2018-11-13|115.23696153058572
2018-11-12|115.0890321833064
2018-11-09|116.3710865263938
2018-11-08|114.39869522933627
2018-11-07|115.43420066029147
2018-11-06|115.09889413979168
2018-11-05|113.85628762264545
2018-11-02|113.5900147975427
2018-11-01|114.49731479418914
2018-10-31|113.24484632055761
2018-10-30|113.17581262516062
