Date|StockPrice
2019-11-25|131.49
2019-11-22|130.79
2019-11-21|129.93
2019-11-20|129.63
2019-11-19|130.58
2019-11-18|130.62
2019-11-15|129.53
2019-11-14|128.6
2019-11-13|128.48
2019-11-12|129.16
2019-11-11|129.92
2019-11-08|130.38
2019-11-07|130.0
2019-11-06|129.3
2019-11-05|129.1
2019-11-04|128.82
2019-11-01|127.8
2019-10-31|124.92
2019-10-30|125.73
2019-10-29|126.43
2019-10-28|126.51
2019-10-25|126.03
2019-10-24|125.03
2019-10-23|125.12
2019-10-22|124.79
2019-10-21|123.55
2019-10-18|120.56
2019-10-17|120.35
2019-10-16|119.68
2019-10-15|119.96
2019-10-14|116.45
2019-10-11|116.14
2019-10-10|114.21
2019-10-09|112.63
2019-10-08|111.82
2019-10-07|114.37
2019-10-04|114.62
2019-10-03|112.19
2019-10-02|112.34999999999997
2019-10-01|114.6317218543046
2019-09-30|116.75471523178804
2019-09-27|116.78447682119202
2019-09-26|116.09996026490063
2019-09-25|117.0622516556291
2019-09-24|116.39757615894035
2019-09-23|117.93525827814565
2019-09-20|117.95509933774831
2019-09-19|118.43128476821188
2019-09-18|118.80826490066222
2019-09-17|117.6277218543046
2019-09-16|118.21303311258274
2019-09-13|119.27452980132448
2019-09-12|116.97296688741717
2019-09-11|116.25868874172181
2019-09-10|115.94123178807943
2019-09-09|114.48291390728474
2019-09-06|111.7150860927152
2019-09-05|111.47699337748341
2019-09-04|108.99686092715228
2019-09-03|107.69727152317877
2019-08-30|108.98694039735096
2019-08-29|108.3520264900662
2019-08-28|105.95125827814566
2019-08-27|104.89968211920527
2019-08-26|106.02070198675494
2019-08-23|105.17745695364235
2019-08-22|107.85599999999997
2019-08-21|106.75482119205294
2019-08-20|106.45720529801322
2019-08-19|107.82623841059599
2019-08-16|106.86394701986751
2019-08-15|104.36397350993374
2019-08-14|103.96715231788076
2019-08-13|108.4710728476821
2019-08-12|106.88874834437084
2019-08-09|108.86789403973506
2019-08-08|108.98694039735096
2019-08-07|107.17148344370858
2019-08-06|109.55241059602646
2019-08-05|108.69924503311255
2019-08-02|112.03254304635759
2019-08-01|112.04246357615891
2019-07-31|115.0781456953642
2019-07-30|114.6714039735099
2019-07-29|114.92933774834432
2019-07-26|115.29639735099335
2019-07-25|114.79045033112578
2019-07-24|115.90154966887414
2019-07-23|115.43528476821189
2019-07-22|113.36189403973506
2019-07-19|112.63769536423838
2019-07-18|113.75871523178805
2019-07-17|113.08411920529797
2019-07-16|114.20513907284766
2019-07-15|112.99483443708607
2019-07-12|114.38370860927148
2019-07-11|113.19324503311255
2019-07-10|112.1218278145695
2019-07-09|112.44920529801321
2019-07-08|111.97301986754964
2019-07-05|112.58809271523175
2019-07-03|111.92341721854301
2019-07-02|112.10198675496684
2019-07-01|111.98377727859958
2019-06-28|110.13182881551224
2019-06-27|107.21599506511943
2019-06-26|106.8613666360176
2019-06-25|106.15210977781395
2019-06-24|107.03868085056851
2019-06-21|107.8070424469558
2019-06-20|108.54585167425128
2019-06-19|108.27002956272764
2019-06-18|109.05809273850947
2019-06-17|107.5903250736158
2019-06-14|108.18137245545218
2019-06-13|107.90555034392855
2019-06-12|107.63957902210217
2019-06-11|109.02854036941767
2019-06-10|108.69361351971038
2019-06-07|107.53122033543217
2019-06-06|108.7231658888022
2019-06-05|108.48674693606765
2019-06-04|108.10256613787399
2019-06-03|104.87150711716845
2019-05-31|104.37896763230479
2019-05-30|105.46255449900484
2019-05-29|106.6052461038885
2019-05-28|106.90076979480669
2019-05-24|108.07301376878218
2019-05-23|107.01897927117398
2019-05-22|109.16645142517947
2019-05-21|110.06287328763133
2019-05-20|109.68854327913495
2019-05-17|109.11719747669312
2019-05-16|109.64914012034586
2019-05-15|108.26017877303038
2019-05-14|108.67391194031583
2019-05-13|107.92032652847446
2019-05-10|110.83123488401863
2019-05-09|110.8410856737159
2019-05-08|110.92974278099136
2019-05-07|111.52079016282774
2019-05-06|113.37273862591506
2019-05-03|114.38736996473419
2019-05-02|113.6879638962278
2019-05-01|113.44169415379596
2019-04-30|114.31841443685327
2019-04-29|114.38736996473419
2019-04-26|112.76198966468414
2019-04-25|112.1906438622423
2019-04-24|111.85571701253501
2019-04-23|112.0428820167832
2019-04-22|111.90497096102138
2019-04-18|111.76705990525956
2019-04-17|112.59452623983049
2019-04-16|109.44227353670313
2019-04-15|108.29958193181946
2019-04-12|109.55063222337313
2019-04-11|104.64493895413118
2019-04-10|103.76821867107388
2019-04-09|103.30523155530206
2019-04-08|104.07359315168935
2019-04-05|103.73866630198206
2019-04-04|103.98493604441389
2019-04-03|102.9900062849893
2019-04-02|102.78471059139797
2019-04-01|102.2959113209424
2019-03-29|98.96230029643539
2019-03-28|98.45394905516159
2019-03-27|97.34926270393198
2019-03-26|97.68164620784178
2019-03-25|96.71382365233976
2019-03-22|97.525230441296
2019-03-21|100.56556190352967
2019-03-20|102.17859949603306
2019-03-19|104.40752416931046
2019-03-18|104.78878760026582
2019-03-15|104.16312453408268
2019-03-14|102.9802302995802
2019-03-13|102.0515116857146
2019-03-12|101.70935219639571
2019-03-11|102.01240774407816
2019-03-08|100.70242569925723
2019-03-07|100.66332175762078
2019-03-06|101.39652066330414
2019-03-05|101.77778409425949
2019-03-04|101.85599197753237
2019-03-01|102.09061562735106
2019-02-28|102.02218372948727
2019-02-27|102.80426256221618
2019-02-26|102.93135037253465
2019-02-25|103.72320519067266
2019-02-22|102.6478467956704
2019-02-21|103.10731810989864
2019-02-20|103.3223897888991
2019-02-19|102.82381453303442
2019-02-15|103.18552599317154
2019-02-14|100.12564256011964
2019-02-13|100.78063358253011
2019-02-12|100.30161029748365
2019-02-11|98.62014080711647
2019-02-08|99.08938810675383
2019-02-07|100.0865386184832
2019-02-06|101.41607263412236
2019-02-05|101.46495256116792
2019-02-04|101.91464788998705
2019-02-01|101.55293642984992
2019-01-31|101.18144898430369
2019-01-30|102.07106365653283
2019-01-29|101.83644000671416
2019-01-28|101.55293642984992
2019-01-25|101.07391314480346
2019-01-24|100.43847409321121
2019-01-23|100.37981818075656
2019-01-22|100.63399380139344
2019-01-18|102.24703139389683
2019-01-17|100.61444183057522
2019-01-16|100.20385044339254
2019-01-15|99.40221963984541
2019-01-14|98.67879671957115
2019-01-11|97.67187022243267
2019-01-10|98.14111752207002
2019-01-09|98.15089350747914
2019-01-08|98.31708525943402
2019-01-07|98.50282898220715
2019-01-04|98.43439708434336
2019-01-03|94.93459430788145
2019-01-02|96.30323226515704
2018-12-31|94.66439969514279
2018-12-28|93.89831819791719
2018-12-27|94.10196011490122
2018-12-26|93.05465882755482
2018-12-24|89.35031538527409
2018-12-21|91.31885391611961
2018-12-20|93.52982330051753
2018-12-19|94.34439096845362
2018-12-18|95.55654523621564
2018-12-17|96.01231524089415
2018-12-14|97.25356121108247
2018-12-13|98.05843164487645
2018-12-12|97.96145930345547
2018-12-11|97.33113908421923
2018-12-10|98.29116526428675
2018-12-07|100.16273145371132
2018-12-06|102.00520594070959
2018-12-04|103.9834417056972
2018-12-03|108.84175601088738
2018-11-30|107.82354642596728
2018-11-29|106.72775896791042
2018-11-28|107.58111557241487
2018-11-27|106.39805300707914
2018-11-26|105.95198023654272
2018-11-23|103.42100212545563
